user_id,accepted_answer_id,answer_count,score,creation_date,question_id,link,title,body
2490,22587,6,11,8/22/08,22528,https://stackoverflow.com/questions/22528/php-includes-vs-oop,PHP includes vs OOP,"<p>I would like to have a reference for the pros and cons of using include <strong>files vs objects(classes)</strong> when developing PHP applications.</p>
<p>I know I would benefit from having one place to go for this answer...I have a few opinions of my own but I look forward to hearing others.</p>
<p><strong>A Simple Example:</strong></p>
<p>Certain pages on my site are only accessible to logged in users. I have two options for implementation (there are others but let's limit it to these two)</p>
<ol>
<li><p><em>Create an authenticate.php file and include it on every page. It holds the logic for authentication.</em></p></li>
<li><p><em>Create a user object, which has an authenticate function, reference the object for authentication on every page.</em> </p></li>
</ol>
<p><strong>Edit</strong>
I'd like to see some way weigh the benefits of one over the other. 
My current (and weak reasons) follow:</p>
<p>Includes - Sometimes a function is just easier/shorter/faster to call
Objects - Grouping of functionality and properties leads for longer term maintenance.</p>
<p><strong>Includes</strong> - Less code to write (no constructor, no class syntax) call me lazy but this is true.</p>
<p><strong>Objects</strong> - Force formality and a single approach to functions and creation. </p>
<p><strong>Includes</strong> - Easier for a novice to deal with
Objects - Harder for novices, but frowned upon by professionals.</p>
<p>I look at these factors at the start of a project to decide if I want to do includes or objects.
Those are a few pros and cons off the top of my head.</p>
"
1632,24607,12,18,8/23/08,24579,https://stackoverflow.com/questions/24579/wysiwyg-editor-gem-for-rails,WYSIWYG editor gem for Rails?,"<p>Is there a good ruby gem for a WYSIWYG editor that will easily work with a rails app?</p>
"
2541,34063,11,52,8/23/08,24580,https://stackoverflow.com/questions/24580/how-do-you-automate-a-visual-studio-build,How do you automate a Visual Studio build?,"<p>How do you turn a Visual Studio build that you'd perform in the IDE into a script that you can run from the command line?</p>
"
2639,24613,2,1,8/23/08,24595,https://stackoverflow.com/questions/24595/code-classic-asp-in-linux,Code Classic ASP in Linux,"<p>What should i use to code Classic ASP under Linux. I have really tried to use Emacs and Vim but I don't have the time to learn them.</p>
<p>What i'm looking for is:</p>
<ul>
<li>Syntax highlighting</li>
<li>Code Browser (Ctags)</li>
<li>Preferably som sort of code insight</li>
</ul>
<p>Something like Ultra Edit or E-texteditor.</p>
"
2628,24707,24,85,8/23/08,24596,https://stackoverflow.com/questions/24596/what-are-the-pros-and-cons-of-the-assorted-java-web-frameworks,What are the pros and cons of the assorted Java web frameworks?,"<p>I am considering creating my own website using Java and am trying to decide what framework to use. However, doing a quick search for Java frameworks returns more than 50 to choose from!</p>
<p>My website is just going to be for my own enjoyment of building it in the beginning, but if it becomes popular, it would be good for it to have some scalability, or to at least be able to redesign for that.</p>
<p>What are the main differences between the more popular frameworks? Are there instances where one significantly outperforms the others? For example, high-traffic enterprise applications versus low-traffic small applications. I'm also wondering if some are much easier to learn and use than others.</p>
<p>Is there anyone who has experience with some of these frameworks and can make a recommendation? Does the sheer number of choices just serve as an early warning to avoid Java-based web development where possible?</p>
"
2536,24603,2,-2,8/23/08,24599,https://stackoverflow.com/questions/24599/stylus-tablet-input-device,Stylus/tablet input device,"<p>I need to make a WebCast presentation soon and need to do some ""whiteboarding"" during that WebCast. Does anyone have any stylus/tablet input device recommendations? Anyone ever used such an input device with WebEx's whiteboard feature?</p>
<p>rp</p>
"
305,22572,5,2,8/22/08,22552,https://stackoverflow.com/questions/22552/passing-a-commented-multi-line-freespace-regex-to-preg-match,"Passing a commented, multi-line (freespace) regex to preg_match","<p>I have a regex that is going to end up being a bit long and it'd make it much easier to read to have it across multiple lines.</p>
<p>I tried this but it just barfs.</p>
<pre><code>preg_match(
    '^J[0-9]{7}:\s+
    (.*?)             #Extract the Transaction Start Date msg
    \s+J[0-9]{7}:\s+Project\sname:\s+
    (.*?)             #Extract the Project Name
    \s+J[0-9]{7}:\s+Job\sname:\s+
    (.*?)             #Extract the Job Name
    \s+J[0-9]{7}:\s+',
    $this-&gt;getResultVar('FullMessage'),
    $atmp
);
</code></pre>
<p>Is there are way to pass a regex in the above form to preg_match?</p>
"
2638,24658,2,12,8/23/08,24610,https://stackoverflow.com/questions/24610/vi-editing-for-visual-studio,Vi editing for Visual Studio,"<p>I'm used to the Vi(m) editor and am using MS Visual Studio 2005 at work. I couldn't find a free Vi add-in (there's only one for the 2003 version). I googled a bit, saw that there was a 'Google summer of code' project this year to write such an add-in, and am eagerly awaiting the result. I've also heard of ViEmu (not free, and I can't test it at work).</p>
<p>Has anyone in my situation has found a solution (and/or tested ViEmu)?</p>
<p>Edit: I can't test ViEmu at work because they are paranoid about what we install on our boxes: it has to go through required channels, and for 30 days I don't reckon it's worth it (and I have no Windows box at home).</p>
<p>Edit: Since both answers were equivalent, I ended up accepting the first one that came in.</p>
"
277,22573,9,37,8/22/08,22566,https://stackoverflow.com/questions/22566/how-do-i-read-in-the-contents-of-a-directory-in-perl,How do I read in the contents of a directory in Perl?,"<p>How do I get Perl to read the contents of a given directory into an array?</p>
<p><a href=""https://en.wikipedia.org/wiki/Grave_accent#Use_in_programming"" rel=""noreferrer"">Backticks</a> can do it, but is there some method using 'scandir' or a similar term?</p>
"
